artist,artist_id,count,genres
Carla Geneve,0UzJFZTzFyN6EYjenzezfT,1,australian garage punk|australian indie rock|perth indie
Carla Thomas,1QAGLCom3FHTTiuRFsjzOj,12,classic soul|memphis soul|motown|rhythm and blues|soul|southern soul
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,4,canadian pop|dance pop|electropop|indie poptimism|pop|post-teen pop
Caroline Rose,06W84OT2eFUNVwG85UsxJw,4,art pop|indie folk|indie pop|indie rock|indie surf|vermont indie
Caroline Smith,47blM5Op3BJODxUJImwdYE,1,minneapolis indie|stomp and holler
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,1,indie folk|nashville singer-songwriter|new americana
Cat Clyde,7oRT0oC3vhUGQJCL6CYYzk,1,canadian folk|canadian singer-songwriter
Cat Power,6G7OerKc3eBO9sVkRNopFC,1,anti-folk|art pop|freak folk|indie pop|indie rock|melancholia|singer-songwriter|slowcore
Caught A Ghost,2e898fil1F5umrc2LBtV93,14,la indie
Cautious Clay,6iWuBN32BqCJAeXW6o3nil,4,alternative r&b|electropop|indie r&b|nyc pop|vapor soul
Celebration,6ITIhwzOeoG3BjX3Es1q0T,1,baltimore indie
Celeste Krishna,4fHswCzZBwNyv68zJk0yDC,1,
Chadwick Stokes,785rMkDH7JjOFN3NcBGDJM,1,modern folk rock
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,9,chicago rap|conscious hip hop|hip hop|pop rap|rap
Charles Bradley,462T0buQ5ScBUQCRpodDRf,5,funk|soul
Charlie Sztyk,0gxrWwatKUig3FuTvjboZM,1,
Chet Faker,6UcJxoeHWWWyT5HZP064om,4,
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,4,atl hip hop|hip hop|pop rap|rap
Chip Tha Ripper,0PA28tQBY65NmvLi0xvuX9,1,ohio hip hop
Chris Gavino,2JK2ahpxy1xIU1iRR81ITe,1,
Christopher Jackson,6sLwRSXSUF5JTUnQaFenyj,1,hollywood|show tunes
